"Name","Unique_ID__c","Order__c","Target_Field__c","Task_Step__r.Unique_ID__c","Transformation__c"
"MAP00000989","VFGE_IOT_SYNC_HISTORY_START_NEW_PROCESS_LOAD_START","1.0","Start_Process_Date__c","VFGE_IOT_SYNC_HISTORY_START_NEW_PROCESS_STEP_3","util:getCurrentTimestamp()"
"MAP00000990","VFGE_IOT_SYNC_HISTORY_START_NEW_PROCESS_LOAD_FTYPE","1.0","filterType","VFGE_IOT_SYNC_HISTORY_START_NEW_PROCESS_STEP_2","""Discard"""
"MAP00000991","VFGE_IOT_SYNC_HISTORY_START_NEW_PROCESS_LOAD_FILTE","2.0","filter","VFGE_IOT_SYNC_HISTORY_START_NEW_PROCESS_STEP_2","util:isBlank(ID)"
"MAP00000992","VFGE_IOT_SYNC_GET_CURRENT_PROCESS_ID_LOAD_ERROR_ME","1.0","Error Message","VFGE_IOT_SYNC_GET_CURRENT_PROCESS_ID_STEP_2","ERROR_MESSAGE__C"
"MAP00000993","VFGE_IOT_SYNC_GET_CURRENT_PROCESS_ID_LOAD_DATE_UPL","2.0","Data Uploaded to SFDC","VFGE_IOT_SYNC_GET_CURRENT_PROCESS_ID_STEP_2","DATA_UPLOADED_TO_SFDC__C"
"MAP00000994","VFGE_IOT_SYNC_GET_CURRENT_PROCESS_ID_LOAD_END_UPLO","3.0","End Upload Data Date","VFGE_IOT_SYNC_GET_CURRENT_PROCESS_ID_STEP_2","END_UPLOAD_DATA_DATE__C"
"MAP00000995","VFGE_IOT_SYNC_HISTORY_IMPORT_CSV_FILES_LOAD_STATUS","1.0","Status__c","VFGE_IOT_SYNC_HISTORY_IMPORT_CSV_FILES_STEP_2","""Importing CSVs"""
"MAP00000996","VFGE_IOT_SYNC_HISTORY_IMPORT_CSV_FILES_LOAD_ERRORM","2.0","Error_Message__c","VFGE_IOT_SYNC_HISTORY_IMPORT_CSV_FILES_STEP_2","""Problem in CSV structure files. Process aborted."""
"MAP00000997","VFGE_IOT_SYNC_HISTORY_IMPORT_CSV_FILES_LOAD_EPD","3.0","End_Process_Date__c","VFGE_IOT_SYNC_HISTORY_IMPORT_CSV_FILES_STEP_2","util:getCurrentTimestamp()"
"MAP00000998","VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_TRANSFORM_ID","1.0","ID","VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_STEP_2","'1'"
"MAP00000999","VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_TRANSFORM_NAME","2.0","NAME","VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_STEP_2","DEAL_INDEX"
"MAP00001000","VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_TRANSFORM_CONTRACT_CATEGORY__C","3.0","CONTRACT_CATEGORY__C","VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_STEP_2","""IOT"""
"MAP00001001","VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_TRANSFORM_CONTRACT_NAME__C","4.0","CONTRACT_NAME__C","VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_STEP_2","NAME"
"MAP00001002","VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_TRANSFORM_DEAL_STATUS__C","5.0","DEAL_STATUS__C","VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_STEP_2","DEAL_STATUS"
"MAP00001003","VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_TRANSFORM_INITIAL_CONTACT_COMMENTS__C","6.0","INITIAL_CONTACT_COMMENTS__C","VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_STEP_2","NOTES"
"MAP00001004","VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_TRANSFORM_NEGOTIATION_TEAM__C","7.0","NEGOTIATION_TEAM__C","VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_STEP_2","NEGOTIATION_TEAM"
"MAP00001005","VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_TRANSFORM_CONTRACT_MANAGER__C","8.0","CONTRACT_MANAGER__C","VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_STEP_2","CONTRACT_MANAGER"
"MAP00001006","VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_TRANSFORM_CAS_COMMENTS__C","9.0","CAS_COMMENTS__C","VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_STEP_2","CSS_COMMENTS"
"MAP00001007","VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_TRANSFORM_LEGAL_SRC__C","10.0","LEGAL_SRC__C","VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_STEP_2","LEGAL_OWNER"
"MAP00001008","VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_TRANSFORM_FINANCE_SRC__C","11.0","FINANCE_SRC__C","VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_STEP_2","FINANCE_OWNER"
"MAP00001009","VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_TRANSFORM_TAX_SRC__C","12.0","TAX_SRC__C","VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_STEP_2","TAX_OWNER"
"MAP00001010","VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_TRANSFORM_CAS_DATE__C","13.0","CAS_DATE__C","VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_STEP_2","util:dateParse(CSS_SIGNED_DATE, ""yyyy-MM-dd HH:mm:ss.S"")"
"MAP00001011","VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_TRANSFORM_PLANNED_NEGOT_START_DATE__C","14.0","PLANNED_NEGOT_START_DATE__C","VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_STEP_2","util:dateParse(PLANNED_NEGOTIATION_START_DATE, ""yyyy-MM-dd HH:mm:ss.S"")"
"MAP00001012","VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_TRANSFORM_PLANNED_NEGOT_END_DATE__C","15.0","PLANNED_NEGOT_END_DATE__C","VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_STEP_2","util:dateParse(PLANNED_NEGOTIATION_END_DATE, ""yyyy-MM-dd HH:mm:ss.S"")"
"MAP00001013","VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_TRANSFORM_ACTUAL_NEGOT_START_DATE__C","16.0","ACTUAL_NEGOT_START_DATE__C","VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_STEP_2","util:dateParse(ACTUAL_NEGOTIATION_START_DATE, ""yyyy-MM-dd HH:mm:ss.S"")"
"MAP00001014","VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_TRANSFORM_ACTUAL_NEGOT_END_DATE__C","17.0","ACTUAL_NEGOT_END_DATE__C","VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_STEP_2","util:dateParse(ACTUAL_NEGOTIATION_FINISH_DATE, ""yyyy-MM-dd HH:mm:ss.S"")"
"MAP00001015","VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_TRANSFORM_CONTACT_PERSON_SRC","18.0","CONTACT_PERSON_SRC","VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_STEP_2","CONTACT_PERSON"
"MAP00001016","VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_TRANSFORM_TELEFONE_NUMBER_SRC","19.0","TELEFONE_NUMBER_SRC","VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_STEP_2","TEL_NO"
