"Name","Unique_ID__c","Entity__r.Unique_ID__c","Field_Name__c","Order__c","Type__c"
"FLD00001416","VRS_VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_DCM_COMMENTS","VRS_VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_EXTRACT_SOURCE","DCM_COMMENTS","16.0","String"
"FLD00001417","VRS_VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_DCM_APPROVAL_DATE","VRS_VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_EXTRACT_SOURCE","DCM_APPROVAL_DATE","17.0","Date"
"FLD00001418","VRS_VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_DATE_OF_LAST_SIGNATURE","VRS_VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_EXTRACT_SOURCE","DATE_OF_LAST_SIGNATURE","18.0","Date"
"FLD00001419","VRS_VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_LEGAL_OWNER","VRS_VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_EXTRACT_SOURCE","LEGAL_OWNER","19.0","String"
"FLD00001420","VRS_VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_LEGAL_APPROVAL","VRS_VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_EXTRACT_SOURCE","LEGAL_APPROVAL","20.0","String"
"FLD00001421","VRS_VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_LEGAL_COMMENTS","VRS_VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_EXTRACT_SOURCE","LEGAL_COMMENTS","21.0","String"
"FLD00001422","VRS_VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_LEGAL_APPROVAL_DATE","VRS_VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_EXTRACT_SOURCE","LEGAL_APPROVAL_DATE","22.0","Date"
"FLD00001423","VRS_VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_FINANCE_OWNER","VRS_VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_EXTRACT_SOURCE","FINANCE_OWNER","23.0","String"
"FLD00001424","VRS_VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_FINANCE_APPROVAL","VRS_VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_EXTRACT_SOURCE","FINANCE_APPROVAL","24.0","String"
"FLD00001425","VRS_VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_FINANCE_COMMENTS","VRS_VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_EXTRACT_SOURCE","FINANCE_COMMENTS","25.0","String"
"FLD00001426","VRS_VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_FINANCE_APPROVAL_DATE","VRS_VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_EXTRACT_SOURCE","FINANCE_APPROVAL_DATE","26.0","Date"
"FLD00001427","VRS_VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_TAX_OWNER","VRS_VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_EXTRACT_SOURCE","TAX_OWNER","27.0","String"
"FLD00001428","VRS_VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_TAX_APPROVAL","VRS_VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_EXTRACT_SOURCE","TAX_APPROVAL","28.0","String"
